epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,732.049,1.58736,1.48627,1.48235,0.49556,0.5677,0.5387,0.28701,1.76845,1.78644,1.94669,0.003367,0.003367,0.003367
69,742.811,1.59574,1.47746,1.51722,0.48357,0.63259,0.54491,0.27486,1.85344,1.6925,1.97595,0.003268,0.003268,0.003268
70,753.489,1.55172,1.46095,1.4521,0.41117,0.65766,0.52268,0.26659,1.81713,1.65068,1.97943,0.003169,0.003169,0.003169
71,764.213,1.57765,1.48848,1.50513,0.57911,0.53215,0.56851,0.29907,1.80395,1.64425,1.93511,0.00307,0.00307,0.00307
72,774.899,1.55406,1.45451,1.47927,0.4389,0.55252,0.49476,0.24231,1.79906,1.69835,1.90528,0.002971,0.002971,0.002971
73,785.249,1.5397,1.42162,1.48803,0.37797,0.44426,0.4994,0.2471,1.81877,1.86013,1.94559,0.002872,0.002872,0.002872
74,795.324,1.57683,1.46208,1.49908,0.61166,0.6439,0.60286,0.29685,1.8393,1.62262,1.95743,0.002773,0.002773,0.002773
75,806.314,1.58755,1.4805,1.51777,0.4752,0.61204,0.57247,0.2785,1.80739,1.60103,1.92325,0.002674,0.002674,0.002674
76,817.08,1.51159,1.40063,1.45007,0.66349,0.50575,0.67198,0.36598,1.77251,1.56395,1.85596,0.002575,0.002575,0.002575
77,827.727,1.54111,1.37614,1.43613,0.55939,0.58526,0.53647,0.29007,1.743,1.53049,1.88847,0.002476,0.002476,0.002476
78,838.535,1.52992,1.374,1.45663,0.47492,0.64998,0.55661,0.274,1.82449,1.47924,1.96156,0.002377,0.002377,0.002377
79,848.193,1.5842,1.37237,1.47237,0.54978,0.62866,0.59638,0.30499,1.84995,1.52341,1.94121,0.002278,0.002278,0.002278
80,858.789,1.51513,1.40658,1.44376,0.54307,0.60415,0.54789,0.28234,1.81539,1.53554,1.89866,0.002179,0.002179,0.002179
81,869.501,1.51503,1.38956,1.44793,0.552,0.63539,0.60078,0.32251,1.7591,1.63013,1.89934,0.00208,0.00208,0.00208
82,880.098,1.48353,1.30003,1.42167,0.51977,0.59397,0.52429,0.28437,1.69848,1.66769,1.84699,0.001981,0.001981,0.001981
83,890.807,1.511,1.33254,1.43004,0.51411,0.67664,0.54083,0.29176,1.66112,1.62888,1.87053,0.001882,0.001882,0.001882
84,901.032,1.49339,1.32442,1.42385,0.48701,0.73307,0.61293,0.31639,1.76717,1.60478,1.9342,0.001783,0.001783,0.001783
85,911.31,1.47943,1.30811,1.41269,0.47781,0.77777,0.53968,0.26082,1.75692,1.64529,1.9562,0.001684,0.001684,0.001684
86,922.026,1.49425,1.34115,1.45378,0.58017,0.56341,0.54984,0.26541,1.7855,1.57295,1.93406,0.001585,0.001585,0.001585
87,932.912,1.45782,1.27371,1.42641,0.58435,0.56151,0.5596,0.30496,1.73368,1.56625,1.91264,0.001486,0.001486,0.001486
